,entity_type,n_document,n_sentence,n_token,n_MISC,n_ALL,F1_mean,F1_std
30,Biophysicist109856267,10,914,24133,1092,1092,0.7495,0.07321188428117392
31,Busker109883174,71,7066,213154,8034,8034,0.84832,0.029430011892624147
32,DueProcess101181475,7,610,18489,618,618,0.48718000000000006,0.17045046670513986
33,Etymology106514621,15,1436,36013,1451,1451,0.7836799999999999,0.2675679457633145
34,Retailer110525436,8,731,20320,761,761,0.26132,0.09720906130603259
35,WebLog106402202,16,1503,44371,1626,1626,0.6157,0.16660045618184843
36,Shipwright110590764,6,520,13650,554,554,0.62924,0.05823622927353726
37,AnxietyDisorder114380473,12,1129,31511,1256,1256,0.58744,0.10539820871343118
38,FarmBuilding103322570,6,534,12354,632,632,0.7597800000000001,0.060984502949519924
39,Industry108065234,43,4217,114375,4479,4479,0.66126,0.0886581434499956
40,Dinghy103199901,3,202,4704,258,258,0.52366,0.10958057492092292
41,Brew107886572,3,230,5739,274,274,0.5607,0.12600274600182326
42,BallGame100471437,127,12665,332752,13566,13566,0.8897,0.05816510981679653
43,FungusOrder111594676,3,222,4773,306,306,0.9087000000000002,0.017607952748687164
44,Degree113939892,4,339,9641,381,381,0.6797,0.09449027463183711
45,Anesthetic102710766,4,333,7124,384,384,0.51058,0.14310318514973733
46,Handbook106421301,11,1082,30983,1205,1205,0.53698,0.11811515398118903
47,Pterosaur101722998,6,505,11700,844,844,0.7846,0.07297043236818597
48,Fiber114866889,6,521,13447,659,659,0.6332000000000001,0.2032227841557142
49,PartyGame100458800,5,427,10310,461,461,0.40843999999999997,0.1168521561632476
50,Base102798290,18,1711,45051,1906,1906,0.74734,0.05319442076007594
51,Ornithischian101700470,13,1259,31102,2311,2311,0.9016,0.006086049621881188
52,Landing103638321,30,2926,77386,3047,3047,0.72348,0.17762720962735412
53,Reservoir113776854,3,295,7290,310,310,0.5292399999999999,0.04058041892341675
54,PlanetaryNebula109394797,1,88,1646,101,101,0.8152799999999999,0.047104793811246014
55,Ape102470325,9,836,23788,1032,1032,0.7527400000000001,0.06277428135789372
56,SpaceProbe104265668,18,1707,49616,2370,2370,0.80738,0.016719497600107512
57,MarineEngineer110294421,5,469,13096,475,475,0.6190399999999999,0.0943824263303291
58,AircraftCarrier102687172,11,1012,28459,1231,1231,0.7542,0.051051934341413585
59,Calculation105802185,7,617,14244,671,671,0.5826800000000001,0.06190894604174746
60,SmartCard113377003,6,516,13692,683,683,0.6142800000000002,0.07209908182494419
61,Slum108651832,6,534,14211,686,686,0.54264,0.14095221317879333
62,TenorSaxophonist110701962,26,2593,69938,3506,3506,0.9143799999999999,0.032248187545969156
63,Tetrapod102156732,3,264,6439,371,371,0.64896,0.22053745804284586
64,SpecialEffect105917994,15,1497,43343,1652,1652,0.61946,0.14041517866669542
65,AdvertisingCampaign100798959,3,208,5850,214,214,0.29932000000000003,0.12199900655333223
66,Noise107387509,13,1206,36466,1272,1272,0.7400399999999999,0.07242434949656089
67,Ghetto108578951,13,1249,32447,1443,1443,0.8084999999999999,0.10940148079436585
68,Comment106762711,7,644,18773,656,656,0.4234400000000001,0.2099798047432181
69,Trombonist110730416,30,2996,79118,3675,3675,0.7492,0.05812004817616725
70,Vector105864577,9,806,23057,942,942,0.5688599999999999,0.11494131720143108
71,Biopsy105740929,4,383,9233,445,445,0.43751999999999996,0.0863521487862346
72,Pagoda103874965,3,249,5751,278,278,0.74648,0.08195731571983064
73,Vogue105750163,11,1042,30316,1074,1074,0.27396000000000004,0.17874918293519554
74,Conservatory108287436,49,4804,138848,5718,5718,0.8028400000000001,0.04650722954552335
75,Fundraiser110116478,12,1160,35103,1197,1197,0.70196,0.2949359089700676
76,VolcanicEruption107436475,4,317,6640,344,344,0.42164,0.042853265919880604
77,Rocket104099175,7,608,16718,784,784,0.65848,0.06288266533791327
78,CarnivorousBat102141306,3,238,5374,397,397,0.9023199999999999,0.0387076943255472
79,Pidgin106905680,13,1300,35973,1626,1626,0.72672,0.1040152565732547
80,Stalk113129165,14,1303,17631,1334,1334,0.89926,0.085171934344595
81,Accessory102671780,13,1299,33306,1436,1436,0.37446,0.09412677833645429
82,Oscine101525720,10,938,16542,1191,1191,0.8652599999999999,0.04138311733062167
